gbifID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	occurrenceID	catalogNumber	recordNumber	recordedBy	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	fieldNotes	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	identifiedBy	scientificName
894987493	University of Lethbridge	LEA	University of Lethbridge Herbarium (LEA)	University of Lethbridge	PRESERVED_SPECIMEN	NA	12831	urn:lsid:biocol.org:col:14547	NA	238 D. Coxson	1976-09-15T00:00Z	NA	NA	NA	1976	9	15	NA	"Exposed rocks, gully"	NA	NA	NA	NA	CA	Alberta	NA	NA	Oldman River Valley north of Pincher Creek	NA	NA	NA	NA	NA	NA	NA	49.58333	-113.96667	NA	Arctostaphylos uva-ursi (L.) Spreng.
856895775	University of British Columbia	UBCBG	University of British Columbia Botanical Garden (UBCBG) - Living Collections	University of British Columbia	LIVING_SPECIMEN	NA	12869	12869	RLT.6449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	Vancouver	UBC Botanical Garden	NA	50-70m	NA	NA	NA	NA	NA	49.25408	-123.25081	NA	Arctostaphylos uva-ursi subsp. stipitata Packer & Denford
899020266	NTSRV	NF-CDC	NatureServe Network Species Occurrence Data	NA	UNKNOWN	NA	NA	8-34332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	Newfoundland and Labrador	NA	NA	St Barbe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi (L.) Spreng.
899025746	NTSRV	NF-CDC	NatureServe Network Species Occurrence Data	NA	UNKNOWN	NA	NA	8-28373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	Newfoundland Island	NA	NA	Bay of Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi (L.) Spreng.
919132243	University of Manitoba	WIN	University of Manitoba Herbarium (WIN) - Vascular Plant Collection	NA	PRESERVED_SPECIMEN	NA	265806	44577	9	Joyce Belcher	1986-05-18T00:00Z	NA	NA	NA	1986	5	18	NA	River bank. Parkland. In association with Populus tremuloides	NA	NA	NA	NA	CA	Manitoba	NA	NA	Canadian Forces Base Shilo. Area 6	NA	NA	NA	NA	NA	NA	NA	49.64988682	-99.51730111	J.W.Belcher	Arctostaphylos uva-ursi (L.) Spreng.
1139155250	Naturalis	Botany	NA	NA	PRESERVED_SPECIMEN	NA	http://data.biodiversitydata.nl/naturalis/specimen/L.2603520	L.2603520	NA	Dore  WG; Roland  AE	1945-09-14T00:00Z	NA	NA	NA	1945	9	14	45-09-14	NA	NA	NA	NA	NA	CA	NA	NA	NA	"Nova Scotia, Five Island Lake, east of Halifax, Halifax County."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi var. coactilis Fern. & J.F. Macbr.
1041168165	UAM	Plant specimens (ALA)	NA	NA	PRESERVED_SPECIMEN	NA	urn:occurrence:Arctos:UAM:Herb:153618:781321	153618	NA	Collector(s): Jason Randall Grant	NA	1989-05-20/	NA	NA	NA	NA	NA	20-May-89	"Steep, dry, south-facing bluff"	NA	NA	NA	NA	CA	Yukon Territory	NA	NA	"Lakeview Resort and Marina, 40 km south of Whitehorse. Km 1414 Alaska Highway; at Marsh Lake."	NA	NA	NA	NA	NA	unknown	NA	NA	NA	unknown	Arctostaphylos uva-ursi (L.) Spreng.
415924465	UConn	CONN	NA	NA	PRESERVED_SPECIMEN	NA	NA	CONN00045849	7035	M.A. Chrysler	NA	NA	NA	NA	1896	8	NA	Aug 1896	NA	NA	NA	NA	NA	CA	Ontario	NA	NA	Ontario	"Whitefish River, Ont."	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi (L.) Spreng.
415984456	UConn	CONN	NA	NA	PRESERVED_SPECIMEN	NA	NA	CONN00109014	15946	August J. Breitung	1953-07-14T00:00Z	NA	NA	NA	1953	7	14	14-Jul-53	Transition zone.	NA	NA	NA	NA	CA	Alberta	Improvement District No. 4	NA	Waterton Lakes National Park	"Waterton Lakes National Park, east park boundary."	4300 FT	NA	NA	NA	seconds added from gazetteer	NA	49.08333	-113.91666	NA	Arctostaphylos uva-ursi (L.) Spreng.
465914640	Acadia University	ACAD	E. C. Smith Herbarium (ACAD)	Acadia University	PRESERVED_SPECIMEN	NA	54746	48331	NA	"Watson, WR"	1928-08-04T00:00Z	NA	NA	NA	1928	8	4	NA	dry rocky banks	NA	NA	NA	NA	CA	Ontario	Algonquin Park	NA	Joe Lake	NA	NA	NA	NA	NA	NA	NA	49.19054	-85.63791	NA	Arctostaphylos uva-ursi (L.) Spreng.
466044650	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V215092	NA	Adam F. Szczawinski	1965-09-11T00:00Z	NA	NA	NA	1965	9	11	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Horne Lake near Qualicum, Vancouver Island"	NA	NA	NA	NA	NA	NA	NA	NA	NA	Adam F. Szczawinski	Arctostaphylos uva-ursi (L.) Spreng.
466049095	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V137262	NA	"Katherine I. Beamish, David Krause, Jake P. Luitjens"	1968-06-18T00:00Z	NA	NA	NA	1968	6	18	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"mile 395, alcan highway"	NA	NA	NA	NA	NA	NA	NA	58.66667	-124.75	D. Krause 1969	Arctostaphylos uva-ursi var. adenotricha Fern. & J.F. Macbr.
466049158	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V74890	NA	D. Mueller-Dombois	1956-08-03T00:00Z	NA	NA	NA	1956	8	3	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver Island, Nanaimo River Valley, Deadwood Valley"	NA	NA	NA	NA	NA	NA	NA	49	-123	D. Mueller-Dombois	Arctostaphylos uva-ursi (L.) Spreng.
466060823	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	V156716	NA	"Katherine I. Beamish, John Pinder-Moss, C. Selby, Jim Pojar, E. Perkins"	1974-06-12T00:00Z	NA	NA	NA	1974	6	12	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Fraser-Cheam Regional District, Skagit River floodplain, 30 miles south of Highway 101"	NA	NA	NA	NA	NA	NA	NA	49	-121.08333	John Pinder-Moss 1975	Arctostaphylos uva-ursi (L.) Spreng.
