gbifID	institutionCode	collectionCode	basisOfRecord	recordNumber	recordedBy	individualCount	preparations	associatedTaxa	fieldNumber	eventDate	year	month	day	verbatimEventDate	habitat	fieldNotes	eventRemarks	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	scientificName
813294899	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Varga, S."	NA	NA	NA	NA	1993-08-18T00:00Z	1993	8	18	NA	NA	NA	NA	NA	NA	CA	Ontario	Bruce Co.	NA	"Lindsay Tp., Cabot Head ANSI (Lindsay Twp portion), Georgian Bay shore, Niagara Escarpment slope and plain, including 4 major promontories, 3 re-entrant valleys and the Wingfield Basin lagoon complex, ca. 27 km ESE of Tobermory."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813307359	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Baldwin, W.K.W.; Porsild, A.E.; et al."	NA	NA	NA	NA	1956-08-08T00:00Z	1956	8	8	NA	NA	NA	NA	NA	NA	CA	Ontario	Cochrane Dist.	NA	"Hudson Bay Lowlands, Albany River, N of Ogoki."	NA	NA	NA	NA	NA	NA	NA	51.63333	-85.95	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813307501	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Baldwin, W.K.W.; Breitung, A.J."	NA	NA	NA	NA	1952-07-13T00:00Z	1952	7	13	NA	NA	NA	NA	NA	NA	CA	Ontario	Cochrane Dist.	NA	"Matheson, 3 mi S at McMillan Lake."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813318514	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Krotkov, P.V."	NA	NA	NA	NA	1935-07-09T00:00Z	1935	7	9	NA	NA	NA	NA	NA	NA	CA	Ontario	Bruce Co.	NA	"Bruce Peninsula, Lion's Head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813318593	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Cain, R.F."	NA	NA	NA	NA	1930-07-12T00:00Z	1930	7	12	NA	NA	NA	NA	NA	NA	CA	Ontario	Bruce Co.	NA	"Bruce Peninsula, Tobermory"	NA	NA	NA	NA	NA	NA	NA	45.25858	-81.66886	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813318685	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Krotkov, P.V."	NA	NA	NA	NA	1936-06-21T00:00Z	1936	6	21	NA	NA	NA	NA	NA	NA	CA	Ontario	Bruce Co.	NA	"Bruce Peninsula, Dyer's Bay"	NA	NA	NA	NA	NA	NA	NA	45.17588	-81.33547	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813319434	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Catling, P.M.; McKay, S.M."	NA	NA	NA	NA	1974-06-16T00:00Z	1974	6	16	NA	NA	NA	NA	NA	NA	CA	Ontario	Peterborough Co.	NA	"Harvey Tp., ca. 2 mi N of Nogies Creek"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
78349021	CMN	CAN	PRESERVED_SPECIMEN	NA	"Spreadborough, William"	NA	NA	NA	NA	1898-07-25T00:00Z	1898	7	25	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.967	-119.417	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
668795302	Universit̩ Laval	QFA	PRESERVED_SPECIMEN	B-4	"Cinq-Mars, Lionel; Brittain, W. H."	NA	mounted	NA	NA	1960-05-12T00:00Z	1960	5	12	12 mai 1960	Plant̩ dans le Morgan Arboretum.	NA	NA	NA	NA	CA	Qu̩bec	NA	NA	"Comt̩ de Jacques-Cartier, Ste-Anne-de-Bellevue"	NA	NA	NA	NA	NA	NA	NA	45.4325	-73.94472	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
668795304	Universit̩ Laval	QFA	PRESERVED_SPECIMEN	B-3	"Cinq-Mars, Lionel; Brittain, W. H."	NA	mounted	NA	NA	1960-05-12T00:00Z	1960	5	12	12 mai 1960	Plant̩ dans le Morgan Arboretum	NA	NA	NA	NA	CA	Qu̩bec	NA	NA	"Comt̩ Jacques-Cartier, Ste-Anne-de-Bellevue."	NA	NA	NA	NA	NA	NA	NA	45.4325	-73.94472	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
